,name,price,rating,distance,latitude,longitude,bikes_available
369,Bar Kebab Gabi Mariola Tomaszewska,,,549,53.041102,18.598109,4
370,Pizzeria Haos,1.0,,555,53.041102,18.598109,4
371,Delikatesy 34,1.0,,576,53.041102,18.598109,4
372,Domowa Barbara Langierowicz,2.0,,652,53.041102,18.598109,4
373,"Kasywtoruniu.pl - Kasy Fiskalne W Toruniu, Systemy Lini Insert i Adith",,,706,53.041102,18.598109,4
374,Klif. Bar,2.0,,723,53.041102,18.598109,4
375,Klif. Bar,2.0,,728,53.041102,18.598109,4
376,Delikates,1.0,,767,53.041102,18.598109,4
377,Bar Krokiecik Toruń,,,39,53.024134,18.609268,5
378,Bar BQ,2.0,,100,53.024134,18.609268,5
379,Domino's Pizza,1.0,,118,53.024134,18.609268,5
380,Bar Orientalny HANOI,2.0,,132,53.024134,18.609268,5
381,Bar Azyl Dorota Jakimiak Toruń,1.0,,142,53.024134,18.609268,5
382,Polish Kebab,,,257,53.024134,18.609268,5
383,Dzięgiel Jacek. Kebab,,,257,53.024134,18.609268,5
384,Domino's Pizza,1.0,,280,53.024134,18.609268,5
385,Atena. Pizzeria,1.0,,289,53.024134,18.609268,5
386,Zahir Kebab,,,82,53.042366,18.580832,7
387,Gruba Ryba,3.0,,109,53.042366,18.580832,7
388,Thienlong,1.0,,109,53.042366,18.580832,7
389,Chilli. Maćczak M.,2.0,,324,53.042366,18.580832,7
390,Delikates,1.0,,594,53.042366,18.580832,7
391,Siwy Dym,,,605,53.042366,18.580832,7
392,"Kasywtoruniu.pl - Kasy Fiskalne W Toruniu, Systemy Lini Insert i Adith",,,617,53.042366,18.580832,7
393,Domowa Barbara Langierowicz,2.0,,629,53.042366,18.580832,7
394,Tomasz Tokarz,,,725,53.042366,18.580832,7
395,Pora Obiadowa,1.0,,727,53.042366,18.580832,7
396,Budzik Coffee Bartłomiej Maciejewski,1.0,,6,53.01726,18.571075,5
397,Taica Frias Heli CLUB LATINO,1.0,,17,53.01726,18.571075,5
398,Maximus S.C. Bar-Pizzeria Toruń,1.0,,22,53.01726,18.571075,5
399,Domowa,1.0,,40,53.01726,18.571075,5
400,Ziemniak Czy Rybka,2.0,,95,53.021252,18.613106,8
401,Domino's Pizza,1.0,,131,53.021252,18.613106,8
402,Mr Chicken,1.0,,157,53.021252,18.613106,8
403,Atena. Pizzeria,1.0,,249,53.021252,18.613106,8
404,Jordan Edyta Maciejewska,2.0,,274,53.021252,18.613106,8
405,Restauracja Róża Wiatrów,,,310,53.021252,18.613106,8
406,Filmar Service Sp. z o.o.,,,327,53.021252,18.613106,8
407,Pro Eco - Invest Sp. z o.o.,,,173,53.021725,18.59627,5
408,Palce Lizać,,,176,53.021725,18.59627,5
409,Warpol,1.0,,214,53.021725,18.59627,5
410,Pizza Sfera,1.0,,216,53.021725,18.59627,5
411,Pizzeria Laguna,1.0,,345,53.021725,18.59627,5
412,Pamela. Pub,1.0,,394,53.021725,18.59627,5
413,Cichy Zakątek S.C. Zembrzuska Magdalena Dąbrowska Kinga,1.0,,405,53.021725,18.59627,5
414,Pizza Dominium,1.0,,22,53.024468,18.638258,6
