name,price,rating,distance,latitude,longitude
Budzik Coffee Bartłomiej Maciejewski,1.0,,6,53.01726,18.571075
Taica Frias Heli CLUB LATINO,1.0,,17,53.01726,18.571075
Maximus S.C. Bar-Pizzeria Toruń,1.0,,22,53.01726,18.571075
Domowa,1.0,,40,53.01726,18.571075
Manekin,,8.4,986,53.021252,18.613106
Hotel Filmar,,7.0,310,53.021252,18.613106
Loft79,3.0,6.7,731,53.021252,18.613106
Ziemniak Czy Rybka,2.0,,95,53.021252,18.613106
Domino's Pizza,1.0,,131,53.021252,18.613106
Mr Chicken,1.0,,157,53.021252,18.613106
Atena. Pizzeria,1.0,,249,53.021252,18.613106
Jordan Edyta Maciejewska,2.0,,274,53.021252,18.613106
Restauracja Róża Wiatrów,,,310,53.021252,18.613106
Filmar Service Sp. z o.o.,,,327,53.021252,18.613106
Montenegro,1.0,8.0,843,53.021725,18.59627
Weranda Chełmińska,2.0,7.5,686,53.021725,18.59627
Hotel Filmar,,7.0,899,53.021725,18.59627
Pro Eco - Invest Sp. z o.o.,,,173,53.021725,18.59627
Palce Lizać,,,176,53.021725,18.59627
Warpol,1.0,,214,53.021725,18.59627
Pizza Sfera,1.0,,216,53.021725,18.59627
Pizzeria Laguna,1.0,,345,53.021725,18.59627
Pamela. Pub,1.0,,394,53.021725,18.59627
Cichy Zakątek S.C. Zembrzuska Magdalena Dąbrowska Kinga,1.0,,405,53.021725,18.59627
Widelec,2.0,6.6,311,53.024468,18.638258
KFC,1.0,6.0,34,53.024468,18.638258
McDonald's,1.0,6.1,156,53.024468,18.638258
Pizza Dominium,1.0,,22,53.024468,18.638258
Słodka Chmurka Piotr Moroz,1.0,,34,53.024468,18.638258
"Baalbek sp.j. Cieślewicz A., Poddany J.",2.0,,38,53.024468,18.638258
Bangkok Wok,2.0,,70,53.024468,18.638258
Subway,1.0,,94,53.024468,18.638258
Copernicus Döner Kebap,,,109,53.024468,18.638258
North Fish,3.0,,144,53.024468,18.638258
Manekin,,8.4,341,53.015745,18.607203
Szeroka No.9,,8.5,582,53.015745,18.607203
Pierogarnia Stary Toruń,1.0,8.1,423,53.015745,18.607203
Coffee & Whisky House,3.0,8.8,832,53.015745,18.607203
Bread House Cafe,1.0,8.4,739,53.015745,18.607203
Pierogarnia Stary Młyn,1.0,8.1,645,53.015745,18.607203
Apartamenty Monka,,8.4,872,53.015745,18.607203
Jan Olbracht Browar Staromiejski,2.0,7.8,525,53.015745,18.607203
Stare Metropolis,1.0,7.2,658,53.015745,18.607203
