name,price,rating,distance,category.plural,category.name
Mr.Capone,1.0,6.0,408,Bars,Bar
KFC,1.0,6.0,34,Fried Chicken Joints,Fried Chicken
KFC,1.0,6.0,34,Fast Food Restaurants,Fast Food
Mr.Capone,1.0,6.0,29,Pizzerias,Pizza
Mr.Capone,1.0,6.0,408,Pizzerias,Pizza
KFC,1.0,6.0,303,Fast Food Restaurants,Fast Food
KFC,1.0,6.0,303,Fried Chicken Joints,Fried Chicken
McDonald's,1.0,5.8,445,Burger Joints,Burgers
McDonald's,1.0,5.8,55,Fast Food Restaurants,Fast Food
McDonald's,1.0,5.8,55,Burger Joints,Burgers
McDonald's,1.0,5.8,445,Fast Food Restaurants,Fast Food
Fort IV,,5.7,567,Hotels,Hotel
Fort IV,,5.7,567,Hostels,Hostel
McDonald's,1.0,5.6,314,Burger Joints,Burgers
McDonald's,1.0,5.6,559,Fast Food Restaurants,Fast Food
McDonald's,1.0,5.6,559,Burger Joints,Burgers
McDonald's,1.0,5.6,314,Fast Food Restaurants,Fast Food
Stara Paczkarnia,1.0,,25,Bakeries,Bakery
Stara Paczkarnia,1.0,,25,Restaurants,Restaurant
Klif. Bar,2.0,,181,Bars,Bar
Klif. Bar,2.0,,188,Bars,Bar
Klif. Bar,2.0,,188,Fast Food Restaurants,Fast Food
Kinga Łuczak Usługi Hotelowe,,,283,Hotels,Hotel
Pizzeria Wenecja,1.0,,314,Pizzerias,Pizza
Pizzeria Wenecja,1.0,,314,Polish Restaurants,Polish
Drink Bar Sierżant Dawid Kościecha,1.0,,350,Fast Food Restaurants,Fast Food
Degustator Rafał Daczkowski,2.0,,370,Bars,Bar
Degustator Rafał Daczkowski,2.0,,370,Fast Food Restaurants,Fast Food
Pizzeria Venus,1.0,,64,Pizzerias,Pizza
Kakadu u Marcina - Pub,2.0,,71,Bars,Bar
Kakadu u Marcina - Pub,2.0,,71,Fast Food Restaurants,Fast Food
Zahir Kebab,,,88,Kebab Restaurants,Kebab
Restauracja Montenegro,1.0,,114,Pizzerias,Pizza
Cafe Molus,1.0,,142,Cafés,Café
Cafe Molus,1.0,,142,Coffee Shops,Coffee Shop
Cafe Molus,1.0,,142,Restaurants,Restaurant
Restauracja W Kapciach,,,144,Restaurants,Restaurant
MClub,,,160,Restaurants,Restaurant
"Misada. Restauracja, organizacja imprez",,,164,Restaurants,Restaurant
Favola,1.0,,184,Cafés,Café
Favola,1.0,,184,Restaurants,Restaurant
Kalinowska Giorgi Wanda Pod Jarzębiną Pokoje Gościnne,,,258,Hotels,Hotel
Kalinowska Giorgi Wanda Pod Jarzębiną Pokoje Gościnne,,,258,Motels,Motel
Pod Jarzębiną,,,262,Hotels,Hotel
La Pablo. FHU. Wiwatowski P.,1.0,,64,Pizzerias,Pizza
